"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","pid","Impulsivity[Imp1]","Impulsivity[Imp2]","Impulsivity[Imp3]","Impulsivity[Imp4]","Impulsivity[Imp5]","Impulsivity[Imp6]","Impulsivity[Imp7]","Impulsivity[Imp8]","Impulsivity[Imp9]","Impulsivity[Imp10]","Impulsivity[Imp11]","Impulsivity[Imp12]","Impulsivity[Imp13]","Impulsivity[Imp14]","Impulsivity[Imp15]","Anxiety[Anx1]","Anxiety[Anx2]","Anxiety[Anx3]","Anxiety[Anx4]","Anxiety[Anx5]","SelfControl[SC1]","SelfControl[SC2]","SelfControl[SC3]","SelfControl[SC4]","SelfControl[SC5]","SelfControl[SC6]","SelfControl[SCATC]","SelfControl[SC7]","SelfControl[SC8]","SelfControl[SC9]","SelfControl[SC10]","SelfControl[SC11]","SelfControl[SC12]","SelfControl[SC13]","FOMO[Fomo1]","FOMO[Fomo2]","FOMO[Fomo3]","FOMO[Fomo4]","FOMO[Fomo5]","thx","ifyes","OtherIntervention","anleitungandroid","whyNotIntereseted","whyNotInstalled","ifno"
"266","2025-02-26 00:44:23","3","en","1638788137","2025-02-26 00:31:13","2025-02-26 00:44:23","66be3ed60ce8896e4feb1003","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","2 (occasionally)","2 (occasionally)","0 (almost never)","0 (almost never)","0 (almost never)","1 (sometimes)","1 (sometimes)","4","3","2","4","3","3","5 (very much)","3","2","4","2","4","3","2","3","3","2","2","2","Yes","Yes","No","Yes",,,""
"268","2025-02-26 00:42:55","3","en","1456588847","2025-02-26 00:31:34","2025-02-26 00:42:55","62df0a2b7302265dcb0b7c58","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","2 (occasionally)","3 (often)","2 (often)","1 (sometimes)","2 (often)","3 (almost always)","1 (sometimes)","2","4","4","5 (very much)","4","3","5 (very much)","5 (very much)","3","5 (very much)","3","3","4","4","3","3","3","2","2","Yes","Yes","No","Yes",,,""
"269","2025-02-26 00:38:12","3","en","1361858048","2025-02-26 00:31:51","2025-02-26 00:38:12","668d4a84ba6d354ca68d97ff","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","1 (rarely/never)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2 (often)","2 (often)","3","4","1 (not at all)","2","2","2","5 (very much)","2","4","1 (not at all)","2","4","2","2","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"270","2025-02-26 02:04:41","3","en","1613873090","2025-02-26 00:32:03","2025-02-26 02:04:41","66463ced06ccfb2b8eb41ccd","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","1 (not at all)","3","3","4","4","4","5 (very much)","4","2","4","5 (very much)","3","5 (very much)","4","5 (totally agree)","5 (totally agree)","2","2","3","Yes","Yes","No","Yes",,,""
"271","2025-02-26 00:35:39","3","en","787157587","2025-02-26 00:32:10","2025-02-26 00:35:39","62a885d5b6af18b3d4579e1b","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","3","5 (very much)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","4","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"272","2025-02-26 00:34:03","3","en","1838875272","2025-02-26 00:32:20","2025-02-26 00:34:03","66881a8fe396f4f33f070d64","3 (often)","3 (often)","2 (occasionally)","4 (almost always)","3 (often)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","2 (often)","4","4","2","3","2","3","3","4","3","2","4","3","3","4","2","3","4","4","3","Yes","Yes","No","Yes",,,""
"273","2025-02-26 00:45:34","3","en","734102017","2025-02-26 00:33:06","2025-02-26 00:45:34","67366fdf3695cee0c68c6339","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","4 (almost always)","2 (occasionally)","4 (almost always)","2 (occasionally)","3 (often)","2 (occasionally)","3 (almost always)","2 (often)","2 (often)","3 (almost always)","3 (almost always)","1 (not at all)","5 (very much)","3","4","5 (very much)","2","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","3","5 (very much)","4","4","3","4","3","Yes","Yes","No","Yes",,,""
"275","2025-02-26 00:39:18","3","en","1194592332","2025-02-26 00:33:11","2025-02-26 00:39:18","67a9cacdf6c88adc3b1f461d","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","2 (occasionally)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","2","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","4","1 (not at all)","3","1 (not at all)","4","4","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"276","2025-02-26 00:37:01","3","en","75085963","2025-02-26 00:33:47","2025-02-26 00:37:01","6728ba2978d0e7c5980946d5","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","2 (often)","1 (sometimes)","2 (often)","4","2","1 (not at all)","2","1 (not at all)","4","5 (very much)","3","4","2","3","3","3","3","2","3","1 (totally disagree)","1 (totally disagree)","2","No","N/A","N/A","N/A","It seems risky",,""
"278","2025-02-26 00:39:04","3","en","1681275134","2025-02-26 00:36:27","2025-02-26 00:39:04","6773ea482c488f0e35bd7b5c","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","4 (almost always)","2 (occasionally)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","2","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","2","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","Yes","Yes",,,""
"279","2025-02-26 00:48:38","3","en","2019350418","2025-02-26 00:37:25","2025-02-26 00:48:38","65ec84d7abc1df34e678abe1","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","1 (sometimes)","0 (almost never)","3","2","1 (not at all)","1 (not at all)","3","3","5 (very much)","4","2","3","2","3","3","1 (not at all)","3","3","2","2","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"282","2025-02-26 00:44:33","3","en","903903596","2025-02-26 00:39:37","2025-02-26 00:44:33","674ca3ad9c55df2c18692c0f@email.prolific.com","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2","2","1 (not at all)","2","2","4","5 (very much)","2","3","2","1 (not at all)","4","1 (not at all)","2","3","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"287","2025-02-26 01:03:45","3","en","1946280711","2025-02-26 00:41:08","2025-02-26 01:03:45","6736aaf79268c6121b012a63","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","4","2","2","1 (not at all)","1 (not at all)","4","5 (very much)","4","3","3","2","4","2","3","4","4","3","2","3","Yes","Yes","No","Yes",,,""
"288","2025-02-26 00:59:12","3","en","550924045","2025-02-26 00:41:52","2025-02-26 00:59:12","66eddcfe67e927db6f0a4768","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","3","3","1 (not at all)","3","3","2","5 (very much)","2","3","3","3","4","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"291","2025-02-26 00:59:29","3","en","368492213","2025-02-26 00:43:55","2025-02-26 00:59:29","66c5fd9cd88ff2690f682cec","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","4","2","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","2","2","1 (not at all)","2","3","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"292","2025-02-26 00:53:12","3","en","1847942205","2025-02-26 00:44:28","2025-02-26 00:53:12","678d5018277ecfbf44f5060c","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","0 (almost never)","0 (almost never)","1 (sometimes)","1 (sometimes)","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","4","5 (very much)","2","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","2","3","2","No","N/A","N/A","N/A","I might not keep up with the 7 days",,""
"294","2025-02-26 01:08:47","3","en","707135001","2025-02-26 00:48:46","2025-02-26 01:08:47","6747a1d066cd71f10db36d9a","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (occasionally)","4 (almost always)","3 (often)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","1 (sometimes)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","3","2","4","5 (very much)","2","4","1 (not at all)","1 (not at all)","4","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"297","2025-02-26 01:08:55","3","en","2109274461","2025-02-26 00:53:26","2025-02-26 01:08:55","6653501881b7b5eff113a16d","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (often)","4 (almost always)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","2","4","3","3","3","2","5 (very much)","5 (very much)","2","3","2","3","3","2","4","3","2","2","2","Yes","Yes","No","Yes",,,""
"298","2025-02-26 01:21:12","3","en","635609808","2025-02-26 00:54:43","2025-02-26 01:21:12","63b78e4b32852d98febe4116","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","1 (sometimes)","1 (sometimes)","3","2","1 (not at all)","1 (not at all)","3","3","5 (very much)","1 (not at all)","4","3","1 (not at all)","5 (very much)","2","1 (not at all)","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"299","2025-02-26 00:58:05","3","en","456964118","2025-02-26 00:56:35","2025-02-26 00:58:05","66f69dcc061074dacb886b52","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","2 (often)","1 (sometimes)","1 (sometimes)","2","2","2","2","2","2","5 (very much)","2","4","3","4","4","3","3","3","3","3","3","4","Yes","Yes","No","Yes",,,""
"301","2025-02-26 01:25:00","3","en","349871402","2025-02-26 01:16:43","2025-02-26 01:25:00","6681a6064361475b2acf7793","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","0 (almost never)","1 (sometimes)","0 (almost never)","0 (almost never)","4","3","2","1 (not at all)","3","1 (not at all)","5 (very much)","5 (very much)","4","2","3","5 (very much)","2","2","5 (totally agree)","4","5 (totally agree)","2","5 (totally agree)","Yes","Yes","No","Yes",,,""
"303","2025-02-26 02:01:08","3","en","778993370","2025-02-26 01:52:31","2025-02-26 02:01:08","5fd2a27758c6df09223dd4b3","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","3","3","3","1 (not at all)","2","5 (very much)","5 (very much)","5 (very much)","3","2","1 (not at all)","5 (very much)","3","1 (not at all)","3","4","4","4","5 (totally agree)","Yes","Yes","Yes","Yes",,,""
"304","2025-02-27 21:32:25","3","en","1084074862","2025-02-27 21:22:22","2025-02-27 21:32:25","6740c00ab3a14733dfd391b2","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2 (often)","3","4","3","2","2","1 (not at all)","5 (very much)","5 (very much)","2","4","3","3","2","2","4","4","3","1 (totally disagree)","4","Yes","Yes","No","Yes",,,""
"307","2025-02-27 21:38:02","3","en","361663037","2025-02-27 21:32:47","2025-02-27 21:38:02","671d3c2b2a640f4bd41d9c37","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","0 (almost never)","0 (almost never)","1 (sometimes)","0 (almost never)","0 (almost never)","4","2","1 (not at all)","2","2","1 (not at all)","5 (very much)","2","1 (not at all)","2","2","5 (very much)","1 (not at all)","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","No",,"Didn't work!",""
"308","2025-02-27 21:42:19","3","en","610487080","2025-02-27 21:34:00","2025-02-27 21:42:19","6161b1aa789db957a50abd58","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","3","4","2","2","4","2","5 (very much)","3","3","4","4","2","4","2","4","4","4","4","4","Yes","Yes","No","Yes",,,""
"310","2025-02-27 21:49:47","3","en","285514355","2025-02-27 21:38:27","2025-02-27 21:49:47","66ff4af9e9e29fcba536be25","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","1 (sometimes)","2 (often)","4","4","4","2","2","4","5 (very much)","4","1 (not at all)","3","4","3","2","4","2","2","2","1 (totally disagree)","4","Yes","Yes","No","No",,"It said it was made for an older version of my phone",""
"311","2025-02-27 21:49:33","3","en","1926952550","2025-02-27 21:38:34","2025-02-27 21:49:33","62d159b0e1b591ec1e8e27c8","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","3 (often)","2 (occasionally)","1 (sometimes)","2 (often)","1 (sometimes)","2 (often)","1 (sometimes)","2","2","4","2","3","4","5 (very much)","3","2","4","4","3","4","3","3","4","4","3","5 (totally agree)","Yes","Yes","No","Yes",,,""
"312","2025-02-27 21:52:25","3","en","1214119062","2025-02-27 21:40:03","2025-02-27 21:52:25","5ef78f819d93424af2af742b","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","4 (almost always)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","2 (often)","3 (almost always)","2 (often)","2 (often)","3","4","2","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","3","3","2","1 (not at all)","2","1 (not at all)","1 (not at all)","5 (totally agree)","4","2","3","3","Yes","Yes","No","Yes",,,""
"315","2025-02-27 21:48:47","3","en","58421367","2025-02-27 21:44:50","2025-02-27 21:48:47","5a68ed0013898300014ba5ec","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2","2","3","2","3","2","5 (very much)","2","1 (not at all)","2","3","2","2","2","5 (totally agree)","5 (totally agree)","3","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"316","2025-02-27 21:55:17","3","en","585265502","2025-02-27 21:45:40","2025-02-27 21:55:17","60172619600dc1955ba05f5c","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","0 (almost never)","1 (sometimes)","3","4","2","2","2","3","5 (very much)","4","1 (not at all)","3","2","4","1 (not at all)","1 (not at all)","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","No",,"It was not allowing me to make the changes to allow all of the permissions. It just kept coming back saying there was risks etc and it just seems to much of a risk to take on my phone for the prices being paid here ",""
"319","2025-02-27 22:04:07","3","en","141371025","2025-02-27 21:52:21","2025-02-27 22:04:07","6774325fe04718842243c287","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","2 (occasionally)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","5 (very much)","1 (not at all)","3","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","No","N/A","N/A","N/A","i would prefer a one goal survey.",,""
"320","2025-02-27 21:56:48","3","en","2090642223","2025-02-27 21:52:43","2025-02-27 21:56:48","60eb52a9e074b5f2d2de72e3","1 (rarely/never)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","4 (almost always)","4 (almost always)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","0 (almost never)","1 (sometimes)","1 (sometimes)","0 (almost never)","0 (almost never)","5 (very much)","4","1 (not at all)","3","2","2","5 (very much)","2","4","3","2","5 (very much)","2","3","3","2","1 (totally disagree)","1 (totally disagree)","2","No","N/A","N/A","N/A","Don't want to install app",,""
"321","2025-02-27 22:00:05","3","en","1070465154","2025-02-27 21:53:43","2025-02-27 22:00:05","5e53b07f83c96c3ad4f34751","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","2 (occasionally)","1 (sometimes)","0 (almost never)","0 (almost never)","1 (sometimes)","0 (almost never)","4","2","2","3","3","3","5 (very much)","3","3","2","2","4","3","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"322","2025-02-27 22:04:16","3","en","1276930929","2025-02-27 21:54:31","2025-02-27 22:04:16","67646659b6ab85cd552decf1","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (often)","1 (sometimes)","2 (often)","2 (often)","2 (often)","2","5 (very much)","2","2","4","2","5 (very much)","5 (very much)","3","5 (very much)","5 (very much)","3","5 (very much)","4","3","4","2","1 (totally disagree)","4","Yes","Yes","No","Yes",,,""
"327","2025-02-27 22:22:08","3","en","407535511","2025-02-27 21:57:28","2025-02-27 22:22:08","665bae8786e39a9d3071ef7c","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","4 (almost always)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","2","2","1 (not at all)","2","2","5 (very much)","3","4","2","2","5 (very much)","3","2","2","2","2","2","2","Yes","Yes","No","Yes",,,""
"328","2025-02-27 22:04:32","3","en","1750191566","2025-02-27 21:58:53","2025-02-27 22:04:32","5aa58943b5e2110001c730b6","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","3 (almost always)","3 (almost always)","2 (often)","3 (almost always)","3 (almost always)","3","4","4","4","3","3","5 (very much)","5 (very much)","2","3","2","4","4","4","4","5 (totally agree)","4","5 (totally agree)","4","Yes","Yes","No","No",,"Can't install app",""
"329","2025-02-27 22:06:17","3","en","1527977725","2025-02-27 22:00:33","2025-02-27 22:06:17","676053c5a079367f9c0b427f","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","3 (often)","4 (almost always)","1 (rarely/never)","2 (occasionally)","4 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","2","4","4","2","3","4","5 (very much)","5 (very much)","2","4","5 (very much)","3","4","2","5 (totally agree)","3","3","3","3","Yes","Yes","No","Yes",,,""
"330","2025-02-27 22:15:46","3","en","1229446658","2025-02-27 22:08:25","2025-02-27 22:15:46","6659e2efdb732dbd7f707a98","3 (often)","4 (almost always)","4 (almost always)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (often)","2 (often)","2 (often)","1 (sometimes)","2 (often)","4","3","4","2","4","2","5 (very much)","4","2","5 (very much)","4","3","4","4","4","3","4","4","4","Yes","Yes","No","Yes",,,""
"331","2025-02-27 22:15:56","3","en","1540373407","2025-02-27 22:11:54","2025-02-27 22:15:56","673e1365dd4456c908190114","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","3 (often)","3 (almost always)","3 (almost always)","2 (often)","3 (almost always)","3 (almost always)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","4","1 (not at all)","5 (very much)","5 (very much)","2","5 (very much)","2","3","4","2","5 (totally agree)","5 (totally agree)","5 (totally agree)","2","5 (totally agree)","Yes","Yes","Yes","Yes",,,""
"335","2025-02-27 22:41:59","3","en","754365184","2025-02-27 22:31:38","2025-02-27 22:41:59","5a9fa90f873cda00010d29d8","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","2 (often)","2 (often)","3 (almost always)","2 (often)","3","2","2","2","3","3","5 (very much)","2","4","3","2","3","3","2","4","5 (totally agree)","5 (totally agree)","5 (totally agree)","5 (totally agree)","Yes","Yes","No","Yes",,,""
